frame,capture,detection,attention,tracker,total_frame,,,,,,
1,3.892599998,39.72320001,34.21689999,34.21719999,34.21719999,,,,,,
2,3.981099988,31.13449999,32.9758,35.4281,35.4281,,,,,,
3,8.060799999,32.4636,34.88410001,29.81950001,29.81950001,,,,,,
4,4.429599998,33.82170001,33.58619999,37.15810001,37.15810001,,,,,,
5,7.597899996,37.90320001,33.4363,30.0076,30.0076,,,,,avg detection time ,34.032758
6,4.978800003,34.50550001,31.4597,38.08150001,38.08150001,,,,,avg attention time,35.864198
7,9.161900001,34.6303,32.80290001,34.64310001,34.64310001,,,,,,
8,6.068300005,35.11319999,37.1974,36.37859999,36.37859999,,,,,,
9,8.070399999,32.7938,35.6086,35.20439999,35.20439999,,,,,,
10,6.864199997,32.9475,34.12139999,40.19249999,40.19249999,,,,,,
11,8.686200003,32.9814,35.75540001,33.6411,33.6411,,,,,,
12,6.113700001,33.667,34.1294,30.8942,30.8942,,,,,,
13,9.096499998,33.1995,31.97360001,37.9292,37.9292,,,,,,
14,9.129099999,35.77130001,33.59980001,33.4531,33.4531,,,,,,
15,9.0261,30.9971,34.15250001,34.1072,34.1072,,,,,,
16,4.423699997,33.3655,32.01760001,32.85079999,32.85079999,,,,,,
17,9.023699997,32.7544,34.85030001,34.75009999,34.75009999,,,,,,
18,7.666900012,32.4011,33.15030001,31.81779999,31.81779999,,,,,,
19,6.051000004,31.81680001,33.1417,33.24830001,33.24830001,,,,,,
20,7.910200002,32.8054,32.77239999,32.82030001,32.82030001,,,,,,
21,5.690099992,34.48050001,32.7195,32.3371,32.3371,,,,,,
22,7.947699996,31.5037,31.5769,32.23120001,32.23120001,,,,,,
23,5.610000007,31.03269999,33.34549999,36.68199999,36.68199999,,,,,,
24,9.112200001,39.09840001,40.2554,39.2266,39.2266,,,,,,
25,4.201400006,33.58030001,31.861,28.3209,28.3209,,,,,,
26,7.721500006,29.5418,33.4893,88.78389999,88.78389999,,,,,,
27,4.440499994,33.4061,61.09009999,19.4928,19.4928,,,,,,
28,9.598599994,32.7525,38.4585,30.13480001,30.13480001,,,,,,
29,7.207400005,34.65289999,35.1445,34.6646,34.6646,,,,,,
30,5.712600003,33.6005,32.69909999,32.33090001,32.33090001,,,,,,
31,7.396200002,32.2233,34.3837,38.24150001,38.24150001,,,,,,
32,5.871899994,31.82839999,40.98380001,39.0294,39.0294,,,,,,
33,7.568799992,37.0182,31.39239999,29.4957,29.4957,,,,,,
34,7.183000009,33.8585,38.6132,40.08400001,40.08400001,,,,,,
35,4.199999996,31.59920001,33.8274,34.5116,34.5116,,,,,,
36,4.790599996,32.80239999,33.45,32.38130001,32.38130001,,,,,,
37,7.8698,34.3252,32.85379999,32.5872,32.5872,,,,,,
38,4.772900007,31.29869999,33.09170001,33.40280001,33.40280001,,,,,,
39,7.499700005,29.1917,46.70589999,48.4608,48.4608,,,,,,
40,5.395200002,33.092,46.47890001,44.9808,44.9808,,,,,,
41,7.645299993,31.50340001,48.41300001,50.03099999,50.03099999,,,,,,
42,5.558699995,28.56640001,41.6078,40.22380001,40.22380001,,,,,,
43,7.023400001,31.2291,36.0655,35.259,35.259,,,,,,
44,6.360200001,33.975,44.5457,45.02579999,45.02579999,,,,,,
45,7.786599992,34.0365,24.47800001,25.6887,25.6887,,,,,,
46,4.728700005,31.5927,37.5799,45.87479999,45.87479999,,,,,,
47,7.1856,33.6122,33.7349,32.5615,32.5615,,,,,,
48,6.497200011,34.7015,44.67439999,49.51109999,49.51109999,,,,,,
49,7.863099992,30.83330001,21.8723,22.1206,22.1206,,,,,,
50,5.423099996,30.7824,33.81610001,43.91209999,43.91209999,,,,,,
51,7.343200006,34.3706,33.9424,34.6554,34.6554,,,,,,
52,6.565299991,34.707,33.8641,33.9319,33.9319,,,,,,
53,8.171599999,33.94160001,36.71119999,35.9934,35.9934,,,,,,
54,7.762499998,33.28090001,36.2855,42.0344,42.0344,,,,,,
55,4.542900002,38.6723,42.2115,39.25649999,39.25649999,,,,,,
56,7.433899998,40.2435,36.1974,36.0157,36.0157,,,,,,
57,5.465800001,39.4347,39.8022,45.3181,45.3181,,,,,,
58,7.012600006,39.61600001,35.37899999,32.82109999,32.82109999,,,,,,
59,5.800400002,36.2355,36.1293,34.509,34.509,,,,,,
60,7.294800002,31.18590001,34.59520001,35.66199999,35.66199999,,,,,,
61,4.62040001,38.6459,34.057,33.9849,33.9849,,,,,,
62,7.582100006,35.4558,36.6427,37.7941,37.7941,,,,,,
63,4.250800004,34.50740001,37.23620001,42.9035,42.9035,,,,,,
64,8.876299995,37.93760001,34.3885,32.41099999,32.41099999,,,,,,
65,5.239100006,36.5937,36.7752,35.91570001,35.91570001,,,,,,
66,9.54839999,33.64570001,37.2772,32.7561,32.7561,,,,,,
67,7.51119999,34.14049999,33.8547,36.46990001,36.46990001,,,,,,
68,4.73320001,34.88400001,34.50749999,35.70929999,35.70929999,,,,,,
69,7.336999988,34.08489999,38.8485,37.08149999,37.08149999,,,,,,
70,5.898699994,35.13449999,48.8536,49.564,49.564,,,,,,
71,7.264900007,35.60620001,40.4326,41.9441,41.9441,,,,,,
72,5.437,33.1319,25.6167,25.2434,25.2434,,,,,,
73,7.333299989,37.37419999,38.1911,38.1438,38.1438,,,,,,
74,4.589999997,35.9798,33.7495,32.8744,32.8744,,,,,,
75,8.121300008,35.2305,37.63010001,42.59520001,42.59520001,,,,,,
76,6.880399989,35.76280001,33.0077,31.5193,31.5193,,,,,,
77,7.345999999,31.4658,37.2948,33.6372,33.6372,,,,,,
78,4.968499998,32.52810001,34.6248,37.16420001,37.16420001,,,,,,
79,7.813499993,32.86499999,35.6403,36.4515,36.4515,,,,,,
80,4.1279,34.89410001,36.4134,35.3076,35.3076,,,,,,
81,7.01500001,34.9253,34.17,40.2875,40.2875,,,,,,
82,4.042300003,37.675,34.2469,33.3579,33.3579,,,,,,
83,8.924900001,32.30399999,32.92329999,29.1174,29.1174,,,,,,
84,7.708899997,32.5897,33.7306,40.9162,40.9162,,,,,,
85,4.192399996,34.99059999,36.6281,37.1096,37.1096,,,,,,
86,7.6405,33.5417,39.7985,42.53769999,42.53769999,,,,,,
87,5.870699999,39.10369999,33.11249999,34.24180001,34.24180001,,,,,,
88,7.737699998,33.3603,34.2469,28.3433,28.3433,,,,,,
89,5.013300004,33.5774,34.45190001,39.6801,39.6801,,,,,,
90,3.534599993,34.0216,37.01520001,42.52070001,42.52070001,,,,,,
91,8.130899994,33.8775,31.2517,26.69329999,26.69329999,,,,,,
92,7.161500005,32.41419999,33.4318,42.5312,42.5312,,,,,,
93,4.031399993,34.8605,35.453,35.0764,35.0764,,,,,,
94,7.404400007,30.70470001,35.46059999,38.1581,38.1581,,,,,,
95,4.994000003,31.1891,33.04200001,29.83869999,29.83869999,,,,,,
96,7.771699995,33.1194,35.8207,37.2884,37.2884,,,,,,
97,3.930999999,36.23329999,38.4165,37.8886,37.8886,,,,,,
98,6.861300004,32.9617,34.42890001,35.19539999,35.19539999,,,,,,
99,4.260800008,36.01899999,46.9796,46.38309999,46.38309999,,,,,,
100,8.020900001,37.73520001,36.6107,34.2976,34.2976,,,,,,
